date,pred,p_up,regime,alloc,btc_fwd,strat,variant
2022-01-07,0.03501591458916664,0.5741357207298279,BEAR,0.39524657665387397,0.03592991275662505,0.015252634341240683,huber_drop_V36_H1_29feat
2022-01-14,-0.017564557492733,0.3907153308391571,BEAR,0.0,-0.15361486633986654,0.0017386579126654755,huber_drop_V36_H1_29feat
2022-01-21,0.07091554254293442,0.7119266986846924,BEAR,1.0,0.034881031331603474,0.034881031331603474,huber_drop_V36_H1_29feat
2022-01-28,0.035075586289167404,0.8136484026908875,BEAR,0.5214137516886374,0.10228106699020278,0.05421479535172068,huber_drop_V36_H1_29feat
2022-02-04,-0.01396770216524601,0.3190564513206482,BEAR,0.0,0.019230172522655353,0.0020100141164518526,huber_drop_V36_H1_29feat
2022-02-11,0.0034352727234363556,0.1996411681175232,BEAR,0.050965949562085666,-0.056622109972381485,-0.000978227762577575,huber_drop_V36_H1_29feat
2022-02-18,-0.0030818339437246323,0.18485626578330994,BEAR,0.0,-0.018893823152994815,0.0020100141164518526,huber_drop_V36_H1_29feat
2022-02-25,0.04452488571405411,0.6073538064956665,BEAR,0.5566416738236978,0.10048223866032857,0.05593260151743757,huber_drop_V36_H1_29feat
2022-02-28,0.006423041224479675,0.31025901436805725,BEAR,0.09105793027903274,-0.09294114921223351,-0.007367277109671874,huber_drop_V36_H1_29feat
2022-03-04,0.012073120102286339,0.3489336371421814,BEAR,0.1640775717029783,0.07134471524695862,0.012713792269015046,huber_drop_V36_H1_29feat
2022-03-09,0.010646936483681202,0.3453837037086487,BEAR,0.14540388557225845,-0.0765858139784954,-0.010449188711333362,huber_drop_V36_H1_29feat
2022-03-11,0.026933420449495316,0.4732990264892578,BEAR,0.2419205447227954,0.07818160645728844,0.020491717274035183,huber_drop_V36_H1_29feat
2022-03-18,0.00252641667611897,0.2964380085468292,BEAR,0.03618828028724271,0.061202164592668584,0.00432445380187544,huber_drop_V36_H1_29feat
2022-03-25,0.02054787240922451,0.5804370641708374,BEAR,0.23723207022196158,0.04446376651992301,0.012217826595236176,huber_drop_V36_H1_29feat
2022-04-01,0.012131266295909882,0.40484732389450073,BEAR,0.14675412485463393,-0.08710406237731849,-0.010915241319902692,huber_drop_V36_H1_29feat
2022-04-08,0.0023992154747247696,0.361344575881958,BEAR,0.03199092502688011,-0.04023737568934593,0.0004074705512573974,huber_drop_V36_H1_29feat
2022-04-15,-0.015422901138663292,0.5384047627449036,BEAR,0.0,-0.020781270421361242,0.0017507081948180403,huber_drop_V36_H1_29feat
2022-04-22,-0.04873337969183922,0.3161498010158539,BEAR,0.0,-0.0280305460853133,0.0021888639370755136,huber_drop_V36_H1_29feat
2022-04-29,-0.04488692432641983,0.45096492767333984,BEAR,0.0,-0.06690674267432661,0.0022597891420201854,huber_drop_V36_H1_29feat
2022-05-06,-0.04495174437761307,0.37758880853652954,BEAR,0.0,-0.16486638305292656,0.0004727899999998897,huber_drop_V36_H1_29feat
2022-05-09,0.002990374807268381,0.5118567943572998,BEAR,0.024416985046111398,-0.0262419159797197,0.0012055439516366643,huber_drop_V36_H1_29feat
2022-05-13,0.005400381051003933,0.6906329989433289,BEAR,0.07661580706400023,-0.0029378172263850866,0.0019598158454079686,huber_drop_V36_H1_29feat
2022-05-20,-0.023735087364912033,0.5647504925727844,BEAR,0.0,-0.019561309694424933,0.0023661863609196754,huber_drop_V36_H1_29feat
2022-05-27,-0.012375107035040855,0.5339967012405396,BEAR,0.0,0.03738796638467612,0.0023661863609196754,huber_drop_V36_H1_29feat
2022-06-03,-0.052011001855134964,0.5697942972183228,BEAR,0.0,-0.02048234675781746,0.0023661863609196754,huber_drop_V36_H1_29feat
2022-06-10,-0.035585176199674606,0.4743574559688568,BEAR,0.0,-0.22702107942147431,0.0004727899999998897,huber_drop_V36_H1_29feat
2022-06-13,-0.00479124765843153,0.6343249082565308,BEAR,0.0,-0.09276746410547054,0.0009458035303839818,huber_drop_V36_H1_29feat
2022-06-16,0.007010412402451038,0.7540149688720703,BEAR,0.102878134263738,0.0033086110646816103,0.0007803053826399603,huber_drop_V36_H1_29feat
2022-06-17,-0.013072600588202477,0.754419207572937,BEAR,0.0,0.005139038371062998,0.0,huber_drop_V36_H1_29feat
2022-06-19,-0.01540876179933548,0.7365358471870422,BEAR,0.0,0.032258675998833475,0.002454255806815686,huber_drop_V36_H1_29feat
2022-06-24,-0.04692406952381134,0.4077584147453308,BEAR,0.0,-0.09218940477989834,0.002454255806815686,huber_drop_V36_H1_29feat
2022-07-01,0.010662827640771866,0.6209409832954407,BEAR,0.13752783575357103,0.12007126629944298,0.018629868707671773,huber_drop_V36_H1_29feat
2022-07-08,-0.03227706998586655,0.2983936369419098,BEAR,0.0,-0.035411847787077844,0.002454255806815686,huber_drop_V36_H1_29feat
2022-07-15,-0.04270588606595993,0.37600183486938477,BEAR,0.0,0.08904399607489966,0.002454255806815686,huber_drop_V36_H1_29feat
2022-07-22,-0.05123798921704292,0.2342759668827057,BEAR,0.0,0.04800212300466877,0.002454255806815686,huber_drop_V36_H1_29feat
2022-07-29,-0.06355585157871246,0.16133417189121246,BEAR,0.0,-0.019405016036595057,0.0024893448554390574,huber_drop_V36_H1_29feat
2022-08-05,-0.05782601237297058,0.2579253911972046,BEAR,0.0,0.04681024106463427,0.002541980731312954,huber_drop_V36_H1_29feat
2022-08-12,-0.04029981046915054,0.2932038903236389,BEAR,0.0,-0.1462603181159563,0.002541980731312954,huber_drop_V36_H1_29feat
2022-08-19,-0.055844008922576904,0.3585911989212036,BEAR,0.0,-0.028478875551432026,0.002541980731312954,huber_drop_V36_H1_29feat
