date,pred,p_up,regime,alloc,btc_fwd,strat,variant
2022-01-07,0.035409025847911835,0.5741357207298279,BEAR,0.39968386984144655,0.03592991275662505,0.015404350963434343,drop_V36_H1_29feat_squared
2022-01-14,-0.017561784014105797,0.3907153308391571,BEAR,0.0,-0.15361486633986654,0.0017386579126654755,drop_V36_H1_29feat_squared
2022-01-21,0.07141641527414322,0.7119266986846924,BEAR,1.0,0.034881031331603474,0.034881031331603474,drop_V36_H1_29feat_squared
2022-01-28,0.034908320754766464,0.8136484026908875,BEAR,0.5189272772188682,0.10228106699020278,0.05396506908460003,drop_V36_H1_29feat_squared
2022-02-04,-0.012980660423636436,0.3190564513206482,BEAR,0.0,0.019230172522655353,0.0020100141164518526,drop_V36_H1_29feat_squared
2022-02-11,0.002193925203755498,0.1996411681175232,BEAR,0.032549229793243456,-0.056622109972381485,0.00010158363621845111,drop_V36_H1_29feat_squared
2022-02-18,-0.004026119597256184,0.18485626578330994,BEAR,0.0,-0.018893823152994815,0.0020100141164518526,drop_V36_H1_29feat_squared
2022-02-25,0.04362434893846512,0.6073538064956665,BEAR,0.5453833339073884,0.10048223866032857,0.05480133831904786,drop_V36_H1_29feat_squared
2022-02-28,0.003621018258854747,0.31025901436805725,BEAR,0.051334316039768305,-0.09294114921223351,-0.003627430976897043,drop_V36_H1_29feat_squared
2022-03-04,0.009862853214144707,0.3489336371421814,BEAR,0.13403933628833187,0.07134471524695862,0.010606934733708325,drop_V36_H1_29feat_squared
2022-03-09,0.010968804359436035,0.3453837037086487,BEAR,0.1497995950655361,-0.0765858139784954,-0.01078936974730131,drop_V36_H1_29feat_squared
2022-03-11,0.026912793517112732,0.4732990264892578,BEAR,0.24173527012214407,0.07818160645728844,0.02047761786650522,drop_V36_H1_29feat_squared
2022-03-18,0.0012175161391496658,0.2964380085468292,BEAR,0.017439647115326005,0.061202164592668584,0.003218035075619694,drop_V36_H1_29feat_squared
2022-03-25,0.018182406201958656,0.5804370641708374,BEAR,0.20992197046010752,0.04446376651992301,0.01106329478827595,drop_V36_H1_29feat_squared
2022-04-01,0.010443808510899544,0.40484732389450073,BEAR,0.12634064250021357,-0.08710406237731849,-0.009092461744209253,drop_V36_H1_29feat_squared
2022-04-08,0.002415428636595607,0.361344575881958,BEAR,0.03220710988035523,-0.04023737568934593,0.0003983933634951985,drop_V36_H1_29feat_squared
2022-04-15,-0.01755177602171898,0.5384047627449036,BEAR,0.0,-0.020781270421361242,0.0017507081948180403,drop_V36_H1_29feat_squared
2022-04-22,-0.04857243597507477,0.3161498010158539,BEAR,0.0,-0.0280305460853133,0.0021888639370755136,drop_V36_H1_29feat_squared
