date,pred,p_up,alloc,btc_fwd,strat,dir_match,variant
2026-01-02,-0.0012553669512271881,0.5066653490066528,0.0,0.007179832953183141,0.002759591103289827,False,H=3
2026-01-09,0.012978114187717438,0.4860702157020569,0.1432907015720997,0.054165828196600874,0.01012562688157206,True,H=3
2026-01-16,0.019642911851406097,0.6196123957633972,0.33685225603982405,-0.062277566290818376,-0.019148322091332645,False,H=3
2026-01-23,0.020566757768392563,0.6851309537887573,0.3872384222810044,-0.059595474388132286,-0.021386686078837175,False,H=3
2026-01-30,-0.005140791181474924,0.5670525431632996,0.0,-0.2533883911664886,0.00220706432665585,True,H=3
2026-02-05,0.045479513704776764,0.8770192861557007,0.9064187504936253,0.12192683309102881,0.11056835998068051,True,H=3
2026-02-06,0.019083604216575623,0.8291470408439636,0.3789532392020307,-0.024458680089871954,-0.007554860930838151,False,H=3
2026-02-13,0.02813483402132988,0.787467360496521,0.5552526470487792,-0.012111866913682379,-0.00598915956737782,False,H=3
2026-02-20,0.016011880710721016,0.7331939935684204,0.3108316722326798,-0.03157761958576588,-0.007913501514995208,False,H=3
2026-02-27,0.03691243380308151,0.8118991851806641,0.7314512582402701,0.03403443946678486,0.025635618290041923,True,H=3
2026-03-06,0.003872982691973448,0.587531566619873,0.06103900540989797,0.04134214953103621,0.005114632095888742,True,H=3
2026-03-13,0.02412276528775692,0.7314762473106384,0.4679260175053597,-0.005911039052587164,-0.0013068474905938087,False,H=3
2026-03-20,0.012999951839447021,0.6991394758224487,0.24751585236484747,-0.05819610717404289,-0.012360526716524513,False,H=3
2026-03-27,0.019371211528778076,0.8112640380859375,0.383823195065619,0.008387935780534983,0.0045580714350857785,True,H=3
2026-04-03,0.03513745218515396,0.909034252166748,0.7012311497861297,0.08957608755710122,0.06362507268400235,True,H=3
2026-04-10,0.0349699929356575,0.86943519115448,0.6966685472361445,0.05632055831267224,0.04006068450494948,True,H=3
2026-04-17,0.01842896081507206,0.7354022860527039,0.35809608875943794,-0.009547565912393696,-0.0030706104339272957,False,H=3
2026-01-02,0.0019880509935319424,0.3815101981163025,0.034010342550074485,0.007179832953183141,0.002909925042758873,True,H=7_sameK
2026-01-09,-0.02375277504324913,0.24005527794361115,0.0,0.054165828196600874,0.002759591103289827,False,H=7_sameK
2026-01-16,0.011473672464489937,0.4619421362876892,0.14662514162393817,-0.062277566290818376,-0.006776491310439645,False,H=7_sameK
2026-01-23,-0.00874232780188322,0.30089402198791504,0.0,-0.059595474388132286,0.002759591103289827,True,H=7_sameK
2026-01-30,-0.017731856554746628,0.3581104576587677,0.0,-0.2533883911664886,0.00220706432665585,True,H=7_sameK
2026-02-05,0.08114588260650635,0.850411057472229,1.0,0.12192683309102881,0.12192683309102881,True,H=7_sameK
2026-02-06,0.04054468497633934,0.7398537397384644,0.7892802589627614,-0.024458680089871954,-0.018723253032567572,False,H=7_sameK
2026-02-13,0.034421052783727646,0.7703233957290649,0.6766885853534157,-0.012111866913682379,-0.007660932781157314,False,H=7_sameK
2026-02-20,0.04200730472803116,0.7148846387863159,0.8079690229213391,-0.03157761958576588,-0.024983811466990677,False,H=7_sameK
2026-02-27,0.041758034378290176,0.80609130859375,0.826778016473025,0.03403443946678486,0.02861694819875488,True,H=7_sameK
2026-03-06,0.01238380279392004,0.6354274749755859,0.21895947866844245,0.04134214953103621,0.011207607982323897,True,H=7_sameK
2026-03-13,0.04569219797849655,0.8095345497131348,0.9051288429899708,-0.005911039052587164,-0.005090091223989806,False,H=7_sameK
2026-03-20,0.03805083408951759,0.7856584787368774,0.7506758862799451,-0.05819610717404289,-0.04300918860528661,False,H=7_sameK
2026-03-27,0.07106278091669083,0.9243932962417603,1.0,0.008387935780534983,0.008387935780534983,True,H=7_sameK
2026-04-03,0.08822156488895416,0.9449005126953125,1.0,0.08957608755710122,0.08957608755710122,True,H=7_sameK
2026-04-10,0.07960139214992523,0.9439196586608887,1.0,0.05632055831267224,0.05632055831267224,True,H=7_sameK
2026-04-17,0.011896156705915928,0.6248327493667603,0.20621898944296657,-0.009547565912393696,-0.0015381361909050408,False,H=7_sameK
2026-01-02,0.0019880509935319424,0.3815101981163025,0.014575861092889067,0.007179832953183141,0.0028240199344908468,True,H=7_scaledK
2026-01-09,-0.02375277504324913,0.24005527794361115,0.0,0.054165828196600874,0.002759591103289827,False,H=7_scaledK
2026-01-16,0.011473672464489937,0.4619421362876892,0.0628393464102592,-0.062277566290818376,-0.0013273013597370894,False,H=7_scaledK
2026-01-23,-0.00874232780188322,0.30089402198791504,0.0,-0.059595474388132286,0.002759591103289827,True,H=7_scaledK
2026-01-30,-0.017731856554746628,0.3581104576587677,0.0,-0.2533883911664886,0.00220706432665585,True,H=7_scaledK
2026-02-05,0.08114588260650635,0.850411057472229,0.6919275528293476,0.12192683309102881,0.08453437866575755,True,H=7_scaledK
2026-02-06,0.04054468497633934,0.7398537397384644,0.33826296812689777,-0.024458680089871954,-0.006447342097791917,False,H=7_scaledK
2026-02-13,0.034421052783727646,0.7703233957290649,0.2900093937228925,-0.012111866913682379,-0.0023376329086587377,False,H=7_scaledK
2026-02-20,0.04200730472803116,0.7148846387863159,0.34627243839485966,-0.03157761958576588,-0.009130438569687533,False,H=7_scaledK
2026-02-27,0.041758034378290176,0.80609130859375,0.35433343563129643,0.03403443946678486,0.013841315572774852,True,H=7_scaledK
2026-03-06,0.01238380279392004,0.6354274749755859,0.09383977657218963,0.04134214953103621,0.006380169765732999,True,H=7_scaledK
2026-03-13,0.04569219797849655,0.8095345497131348,0.38791236128141604,-0.005911039052587164,-0.0006144659554109088,False,H=7_scaledK
2026-03-20,0.03805083408951759,0.7856584787368774,0.3217182369771193,-0.05819610717404289,-0.016880368603857616,False,H=7_scaledK
2026-03-27,0.07106278091669083,0.9243932962417603,0.6080641701707553,0.008387935780534983,0.005951847553346807,True,H=7_scaledK
2026-04-03,0.08822156488895416,0.9449005126953125,0.755230263029549,0.08957608755710122,0.0683154270831005,True,H=7_scaledK
2026-04-10,0.07960139214992523,0.9439196586608887,0.6814235909310661,0.05632055831267224,0.03924348911203453,True,H=7_scaledK
2026-04-17,0.011896156705915928,0.6248327493667603,0.08837956690412853,-0.009547565912393696,-0.0003491097961021444,False,H=7_scaledK
