strategy,label,seed,n_retrains,cum_strat,cum_btc,cagr,sortino,sharpe,max_dd
annual,"ANNUAL (1x/yr, lower ref)",451,5,7.919283224473199,0.6178913225088762,0.6642892897072734,4.676944043274866,2.07560205936952,-0.09120748143558355
annual,"ANNUAL (1x/yr, lower ref)",323,5,8.04873131737867,0.6178913225088762,0.6698811685492898,4.7406049346140575,2.0739020329439883,-0.08874876163110845
annual,"ANNUAL (1x/yr, lower ref)",242,5,7.8569083966027655,0.6178913225088762,0.6615725763915505,4.647715671475463,2.05414576736816,-0.09120748143558366
annual,"ANNUAL (1x/yr, lower ref)",787,5,7.948422371026547,0.6178913225088762,0.6655534420305331,4.669307026131251,2.0575471653272164,-0.09120748143558344
annual,"ANNUAL (1x/yr, lower ref)",919,5,8.10472551663224,0.6178913225088762,0.672280994821421,4.7104399119746985,2.074898463761058,-0.09120748143558355
semi,"SEMI (2x/yr, current prod)",451,9,11.243059710252728,0.6178913225088762,0.791643639149286,5.857250074846378,2.3976910616171354,-0.09120748143558366
semi,"SEMI (2x/yr, current prod)",242,9,11.348615845783263,0.6178913225088762,0.795227746175132,5.9336062811306425,2.390176980239609,-0.09120748143558366
semi,"SEMI (2x/yr, current prod)",323,9,11.271556683161588,0.6178913225088762,0.7926135688562492,5.926477921489776,2.384063222660689,-0.08874876163110834
semi,"SEMI (2x/yr, current prod)",787,9,11.25425267531681,0.6178913225088762,0.7920248118953594,5.886477704682618,2.381928426474785,-0.09120748143558355
semi,"SEMI (2x/yr, current prod)",919,9,11.45402968778451,0.6178913225088762,0.7987836404399531,5.9501371942660946,2.402295788732824,-0.09120748143558355
acc,ACC (trigger only),323,17,9.880228383798594,0.6178913225088762,0.7430931968061671,5.044585590316422,2.2115737439555834,-0.08815556923942491
acc,ACC (trigger only),451,15,8.38553190042685,0.6178913225088762,0.6841479784575362,4.957937582930691,2.155006009638249,-0.06609306084430966
acc,ACC (trigger only),242,21,9.549950839863591,0.6178913225088762,0.7306294622618335,5.40464207848206,2.2722270733152996,-0.07335367921786695
acc,ACC (trigger only),787,13,8.279299042052354,0.6178913225088762,0.6796909878383495,4.9194699297504,2.149872935825944,-0.06649612313595277
acc,ACC (trigger only),919,16,8.693650802333845,0.6178913225088762,0.6968597985776306,4.947572162970619,2.1724396294468487,-0.07395704504216039
semi_acc,SEMI + ACC,242,18,8.028409611982989,0.6178913225088762,0.6690073932053304,4.689812033080888,2.045883460868818,-0.07335367921786684
semi_acc,SEMI + ACC,323,17,9.780990192635768,0.6178913225088762,0.7393790952083854,5.1321140236300895,2.179020685346961,-0.07525269339480412
semi_acc,SEMI + ACC,451,17,8.241498720091991,0.6178913225088762,0.678095634977844,4.679973389311667,2.0693849896334853,-0.07376247054915375
semi_ddt,SEMI + DDT,242,13,10.40082741625832,0.6178913225088762,0.7621622579219991,6.252700601318539,2.4437883066824804,-0.09120748143558377
semi_ddt,SEMI + DDT,323,13,10.011609451926304,0.6178913225088762,0.7479705089659527,6.240159403027081,2.426305353853798,-0.08874876163110845
semi_acc,SEMI + ACC,787,19,8.093978867573467,0.6178913225088762,0.6718212895565188,4.642988954704918,2.050316096774787,-0.07097235548269565
semi_acc,SEMI + ACC,919,17,7.953468363911194,0.6178913225088762,0.6657720329362438,4.51602879388297,2.006249276247659,-0.07394799594292734
semi_ddt,SEMI + DDT,451,13,10.425004837456274,0.6178913225088762,0.7630314860679293,6.190843694460082,2.460240932671687,-0.09120748143558355
semi_ddt,SEMI + DDT,787,13,10.217372217791478,0.6178913225088762,0.7555201656069535,6.221439469964891,2.430226124888942,-0.09120748143558333
semi_ddt,SEMI + DDT,919,13,10.319026314935194,0.6178913225088762,0.7592108127877737,6.224413596814718,2.4347395167558243,-0.09120748143558333
semi_stack,SEMI + ACC + DDT,242,23,7.977432481032375,0.6178913225088762,0.6668088629260263,4.8679914731500125,2.131249509144719,-0.07335367921786673
semi_stack,SEMI + ACC + DDT,323,22,9.473991536530823,0.6178913225088762,0.7277207226145188,5.2781718198375165,2.240770742585647,-0.07525269339480423
semi_stack,SEMI + ACC + DDT,451,23,8.201415612964619,0.6178913225088762,0.6763984593369039,4.866203683808772,2.153053584220785,-0.07376247054915386
semi_stack,SEMI + ACC + DDT,787,24,7.906596809225116,0.6178913225088762,0.6637379209394507,4.794168420569933,2.1123345785940426,-0.07097235548269598
semi_stack,SEMI + ACC + DDT,919,22,7.692840460935518,0.6178913225088762,0.6543559003473138,4.676710458534777,2.0779582409891098,-0.07395704504216039
