date,pred,p_up,alloc,regime,btc_fwd,strat,dir_match,variant
2022-01-07,0.0435778871178627,0.5962935090065002,0.7052083087712254,BEAR,0.03592991275662505,0.025850614915940175,True,H=3
2022-01-14,-0.021731048822402954,0.3506336212158203,0.0,BEAR,-0.15361486633986654,0.0017386579126654755,True,H=3
2022-01-21,0.077193982899189,0.7008394002914429,1.0,BEAR,0.034881031331603474,0.034881031331603474,True,H=3
2022-01-28,0.041394513100385666,0.7959926724433899,0.8182373239118341,BEAR,0.10228106699020278,0.08402593702477333,True,H=3
2022-02-04,-0.01163826696574688,0.3120885193347931,0.0,BEAR,0.019230172522655353,0.0020100141164518526,False,H=3
2022-02-11,0.0011309266556054354,0.1817055493593216,0.022429163528457197,BEAR,-0.056622109972381485,0.0006949446172426152,False,H=3
2022-02-18,-0.0061786784790456295,0.17417719960212708,0.0,BEAR,-0.018893823152994815,0.0020100141164518526,True,H=3
2022-02-25,0.04634463042020798,0.5828032493591309,0.7191949074273003,BEAR,0.10048223866032857,0.0722663143314029,True,H=3
2022-02-28,0.0032278418075293303,0.30742496252059937,0.061153482709095895,BEAR,-0.09294114921223351,-0.004551872853564414,False,H=3
2022-03-04,0.007615707814693451,0.32634982466697693,0.14182988935010138,BEAR,0.07134471524695862,0.011153357824007192,True,H=3
2022-03-09,0.008073108270764351,0.3201238512992859,0.15127663668278069,BEAR,-0.0765858139784954,-0.010903677016307699,False,H=3
2022-03-11,0.03425950929522514,0.42474064230918884,0.5177530432964594,BEAR,0.07818160645728844,0.04148258592913648,True,H=3
2022-03-18,-0.0056332917883992195,0.2615906596183777,0.0,BEAR,0.061202164592668584,0.0021888639370755136,False,H=3
2022-03-25,0.00583986658602953,0.5604309439659119,0.0831919451062019,BEAR,0.04446376651992301,0.005705795312117796,True,H=3
2022-04-01,0.01595505140721798,0.3875196576118469,0.26927539836641834,BEAR,-0.08710406237731849,-0.02185552436753617,False,H=3
2022-04-08,0.0018340970855206251,0.3935460150241852,0.030503676906279854,BEAR,-0.04023737568934593,0.00046991725010172647,False,H=3
2022-04-15,-0.01187354139983654,0.5035917162895203,0.0,BEAR,-0.020781270421361242,0.0017507081948180403,True,H=3
2022-04-22,-0.059644170105457306,0.2901001572608948,0.0,BEAR,-0.0280305460853133,0.0021888639370755136,True,H=3
2022-04-29,-0.0494646355509758,0.46174106001853943,0.0,BEAR,-0.06690674267432661,0.0022597891420201854,True,H=3
2022-05-06,-0.05514229089021683,0.3418373465538025,0.0,BEAR,-0.16486638305292656,0.0004727899999998897,True,H=3
2022-05-09,-0.011952954344451427,0.48486271500587463,0.0,BEAR,-0.0262419159797197,0.0018925016050859167,True,H=3
2022-05-13,-0.0050605167634785175,0.6502526998519897,0.0,BEAR,-0.0029378172263850866,0.0023661863609196754,True,H=3
2022-05-20,-0.042895205318927765,0.5431148409843445,0.0,BEAR,-0.019561309694424933,0.0023661863609196754,True,H=3
2022-05-27,-0.026005366817116737,0.49913614988327026,0.0,BEAR,0.03738796638467612,0.0023661863609196754,False,H=3
2022-06-03,-0.06607256829738617,0.5574690699577332,0.0,BEAR,-0.02048234675781746,0.0023661863609196754,True,H=3
2022-06-10,-0.058138299733400345,0.4452821612358093,0.0,BEAR,-0.22702107942147431,0.0004727899999998897,True,H=3
2022-06-13,-0.009737645275890827,0.6029780507087708,0.0,BEAR,-0.09276746410547054,0.0009458035303839818,True,H=3
2022-06-16,-0.007269839756190777,0.7325353622436523,0.0,BEAR,0.0033086110646816103,0.0004903700000000732,False,H=3
2022-06-17,-0.03285316377878189,0.7361553907394409,0.0,BEAR,0.005139038371062998,0.0,False,H=3
2022-06-19,-0.03623851016163826,0.7071449160575867,0.0,BEAR,0.032258675998833475,0.002454255806815686,False,H=3
