freq,n_retrains,cum_strat,cum_btc,cagr,sortino,sharpe,max_dd,days,cum_strat_%,cum_btc_%,cagr_%,max_dd_%
annual,6,8.35748227784013,0.6178913225088762,0.6829749348796026,2.84052512855963,2.2837262832319247,-0.09120748143558366,1570,835.75,61.79,68.3,-9.12
semi,12,11.828086367954858,0.6178913225088762,0.8112181501979858,3.4517467979183163,2.5231003423199483,-0.09120748143558322,1570,1182.81,61.79,81.12,-9.12
quarterly,24,7.432856485517597,0.6178913225088762,0.6427032717123955,2.6292058895383126,2.189849539686673,-0.11140258484415966,1570,743.29,61.79,64.27,-11.14
monthly,70,7.582980385332286,0.6178913225088762,0.6494649808602677,2.4791391226686064,2.1392167469028585,-0.11140258484415944,1570,758.3,61.79,64.95,-11.14
