strategy,label,n_seeds,n_retrains_avg,cum_strat_mean,cum_strat_std,cum_btc_mean,cagr_mean,sortino_mean,sortino_std,sharpe_mean,max_dd_mean,cum_strat_%,cum_strat_std_%,cagr_%,max_dd_%,sortino,sharpe
semi_ddt,SEMI + DDT,5,13.0,10.274768047673515,0.16805325007027258,0.6178913225088762,0.7575790462701216,6.225911353117063,0.02,2.4390600469705466,-0.09071573747468849,1027.5,16.8,75.8,-9.1,6.23,2.44
semi,"SEMI (2x/yr, current prod)",5,9.0,11.31430292045978,0.08833149791660432,0.6178913225088762,0.794058681303196,5.910789835283102,0.04,2.3912310959450087,-0.09071573747468856,1131.4,8.8,79.4,-9.1,5.91,2.39
acc,ACC (trigger only),5,16.4,8.957732193695048,0.7174862095804657,0.6178913225088762,0.7068842847883033,5.054841468890038,0.2,2.1922238784363848,-0.07361109549594294,895.8,71.7,70.7,-7.4,5.05,2.19
semi_stack,SEMI + ACC + DDT,5,22.8,8.25045538013769,0.7076652180071498,0.6178913225088762,0.6778043732328427,4.8966491711802025,0.23,2.143073331106861,-0.07345964873733624,825.0,70.8,67.8,-7.3,4.9,2.14
semi_acc,SEMI + ACC,5,17.6,8.41966915123908,0.7683490486625724,0.6178913225088762,0.6848150891768645,4.732183438922107,0.23,2.070170901774342,-0.07345783891748954,842.0,76.8,68.5,-7.3,4.73,2.07
annual,"ANNUAL (1x/yr, lower ref)",5,5.0,7.975614165222685,0.10002435586292961,0.6178913225088762,0.6667154943000135,4.689002317494067,0.04,2.0672190977539886,-0.09071573747468853,797.6,10.0,66.7,-9.1,4.69,2.07
