date,pred,p_up,alloc,btc_fwd,cdi_period,strat
2022-01-07,0.036869242787361145,0.6044321060180664,0.4575186109051941,0.03592991275662505,0.0017386579126654755,0.017381793333979347
2022-01-14,-0.017658695578575134,0.3677361309528351,0.0,-0.15361486633986654,0.0017386579126654755,0.0017386579126654755
2022-01-21,0.06987964361906052,0.706274151802063,1.0,0.034881031331603474,0.0017386579126654755,0.034881031331603474
2022-01-28,0.0334927923977375,0.7953366637229919,0.49647691241519515,0.10228106699020278,0.0018471915746878231,0.05171029194287507
2022-02-04,-0.015736602246761322,0.3085985481739044,0.0,0.019230172522655353,0.0020100141164518526,0.0020100141164518526
2022-02-11,-0.00015562404587399215,0.18418684601783752,0.0,-0.056622109972381485,0.0020100141164518526,0.0020100141164518526
2022-02-18,-0.006082259118556976,0.17091551423072815,0.0,-0.018893823152994815,0.0020100141164518526,0.0020100141164518526
2022-02-25,0.03602271527051926,0.5850280523300171,0.4223677511169475,0.10048223866032857,0.0,0.04244045717015938
2022-02-28,0.0004142268153373152,0.3169376254081726,0.005838630920756131,-0.09294114921223351,0.0012055241052768562,0.000655836427358914
2022-03-04,0.005983090493828058,0.3286477327346802,0.08336758565442635,0.07134471524695862,0.0012055241052768562,0.007052859130513194
2022-03-09,0.005591726861894131,0.32380884885787964,0.07830402712357076,-0.0765858139784954,0.0008035213468222668,-0.005256375265566521
2022-03-11,0.023278573527932167,0.43513554334640503,0.25340256411139067,0.07818160645728844,0.0020815502142947917,0.021365499595290428
2022-03-18,-0.005880493205040693,0.26976093649864197,0.0,0.061202164592668584,0.0021888639370755136,0.0021888639370755136
2022-03-25,0.013435961678624153,0.5770901441574097,0.15330484379725046,0.04446376651992301,0.0021888639370755136,0.00866981127408293
2022-04-01,0.011253745295107365,0.38552895188331604,0.14310552243376354,-0.08710406237731849,0.0021888639370755136,-0.010589446932785391
2022-04-08,0.000859562773257494,0.3859117925167084,0.010920845850974147,-0.04023737568934593,0.0017507081948180403,0.0012921628031413138
2022-04-15,-0.022999215871095657,0.5024356842041016,0.0,-0.020781270421361242,0.0017507081948180403,0.0017507081948180403
2022-04-22,-0.0535416379570961,0.29710692167282104,0.0,-0.0280305460853133,0.0021888639370755136,0.0021888639370755136
2022-04-29,-0.0477139912545681,0.4795357584953308,0.0,-0.06690674267432661,0.0022597891420201854,0.0022597891420201854
2022-05-06,-0.048665739595890045,0.36289340257644653,0.0,-0.16486638305292656,0.0004727899999998897,0.0004727899999998897
2022-05-09,-0.004177612718194723,0.4875510334968567,0.0,-0.0262419159797197,0.0018925016050859167,0.0018925016050859167
2022-05-13,-0.007310329936444759,0.656618595123291,0.0,-0.0029378172263850866,0.0023661863609196754,0.0023661863609196754
2022-05-20,-0.0380074717104435,0.5461684465408325,0.0,-0.019561309694424933,0.0023661863609196754,0.0023661863609196754
2022-05-27,-0.02188451960682869,0.5105338096618652,0.0,0.03738796638467612,0.0023661863609196754,0.0023661863609196754
2022-06-03,-0.06086798757314682,0.5463619828224182,0.0,-0.02048234675781746,0.0023661863609196754,0.0023661863609196754
2022-06-10,-0.043040815740823746,0.4460320472717285,0.0,-0.22702107942147431,0.0004727899999998897,0.0004727899999998897
2022-06-13,-0.011881569400429726,0.6138806343078613,0.0,-0.09276746410547054,0.0009458035303839818,0.0009458035303839818
2022-06-16,-0.003855164395645261,0.7334081530570984,0.0,0.0033086110646816103,0.0004903700000000732,0.0004903700000000732
2022-06-17,-0.024372467771172523,0.7332020998001099,0.0,0.005139038371062998,0.0,0.0
2022-06-19,-0.03029797039926052,0.7097808122634888,0.0,0.032258675998833475,0.002454255806815686,0.002454255806815686
