date,pred,p_up,regime,alloc,btc_fwd,strat,variant
2022-01-07,0.03614364191889763,0.5962935090065002,BEAR,0.43867655609691036,0.03592991275662505,0.016737559836245464,huber_loss_H1_32feat
2022-01-14,-0.018852319568395615,0.3506336212158203,BEAR,0.0,-0.15361486633986654,0.0017386579126654755,huber_loss_H1_32feat
2022-01-21,0.07058659940958023,0.7008394002914429,BEAR,1.0,0.034881031331603474,0.034881031331603474,huber_loss_H1_32feat
2022-01-28,0.032604169100522995,0.7959926724433899,BEAR,0.4833602223164988,0.10228106699020278,0.050392931923638674,huber_loss_H1_32feat
2022-02-04,-0.017004242166876793,0.3120885193347931,BEAR,0.0,0.019230172522655353,0.0020100141164518526,huber_loss_H1_32feat
2022-02-11,-0.00047153784544207156,0.1817055493593216,BEAR,0.0,-0.056622109972381485,0.0020100141164518526,huber_loss_H1_32feat
2022-02-18,-0.005267702974379063,0.17417719960212708,BEAR,0.0,-0.018893823152994815,0.0020100141164518526,huber_loss_H1_32feat
2022-02-25,0.036093637347221375,0.5828032493591309,BEAR,0.4200868569122943,0.10048223866032857,0.042211267814328456,huber_loss_H1_32feat
2022-02-28,0.0023252791725099087,0.30742496252059937,BEAR,0.03304040164039546,-0.09294114921223351,-0.001905119794240789,huber_loss_H1_32feat
2022-03-04,0.00661760289222002,0.32634982466697693,BEAR,0.09243138413434418,0.07134471524695862,0.007688586624565834,huber_loss_H1_32feat
2022-03-09,0.0068802000023424625,0.3201238512992859,BEAR,0.09669263818389413,-0.0765858139784954,-0.006679457653080731,huber_loss_H1_32feat
2022-03-11,0.02421877533197403,0.42474064230918884,BEAR,0.2745079736472704,0.07818160645728844,0.022971622448002292,huber_loss_H1_32feat
2022-03-18,-0.003892379580065608,0.2615906596183777,BEAR,0.0,0.061202164592668584,0.0021888639370755136,huber_loss_H1_32feat
2022-03-25,0.014337132684886456,0.5604309439659119,BEAR,0.15317994911322996,0.04446376651992301,0.008664531363482848,huber_loss_H1_32feat
2022-04-01,0.012167176231741905,0.3875196576118469,BEAR,0.15401021641245832,-0.08710406237731849,-0.011563158968706001,huber_loss_H1_32feat
2022-04-08,0.0017830614233389497,0.3935460150241852,BEAR,0.022241160238040396,-0.04023737568934593,0.0008168444930620679,huber_loss_H1_32feat
2022-04-15,-0.024524027481675148,0.5035917162895203,BEAR,0.0,-0.020781270421361242,0.0017507081948180403,huber_loss_H1_32feat
2022-04-22,-0.054306961596012115,0.2901001572608948,BEAR,0.0,-0.0280305460853133,0.0021888639370755136,huber_loss_H1_32feat
2022-04-29,-0.04745722934603691,0.46174106001853943,BEAR,0.0,-0.06690674267432661,0.0022597891420201854,huber_loss_H1_32feat
2022-05-06,-0.046561531722545624,0.3418373465538025,BEAR,0.0,-0.16486638305292656,0.0004727899999998897,huber_loss_H1_32feat
2022-05-09,0.00029243709286674857,0.48486271500587463,BEAR,0.002441215967634563,-0.0262419159797197,0.0018238194156377906,huber_loss_H1_32feat
2022-05-13,-0.0027310808654874563,0.6502526998519897,BEAR,0.0,-0.0029378172263850866,0.0023661863609196754,huber_loss_H1_32feat
2022-05-20,-0.03447341173887253,0.5431148409843445,BEAR,0.0,-0.019561309694424933,0.0023661863609196754,huber_loss_H1_32feat
2022-05-27,-0.01843888685107231,0.49913614988327026,BEAR,0.0,0.03738796638467612,0.0023661863609196754,huber_loss_H1_32feat
2022-06-03,-0.05566420406103134,0.5574690699577332,BEAR,0.0,-0.02048234675781746,0.0023661863609196754,huber_loss_H1_32feat
2022-06-10,-0.043913453817367554,0.4452821612358093,BEAR,0.0,-0.22702107942147431,0.0004727899999998897,huber_loss_H1_32feat
2022-06-13,-0.0066198138520121574,0.6029780507087708,BEAR,0.0,-0.09276746410547054,0.0009458035303839818,huber_loss_H1_32feat
2022-06-16,0.0005006375722587109,0.7325353622436523,BEAR,0.007286869528791487,0.0033086110646816103,0.00051090615493909,huber_loss_H1_32feat
2022-06-17,-0.021799694746732712,0.7361553907394409,BEAR,0.0,0.005139038371062998,0.0,huber_loss_H1_32feat
