date,mempool_size_bytes,mempool_tx_count,miners_revenue_usd,cost_per_tx_usd,total_fees_usd,n_transactions,sopr,nupl,sth_sopr,realized_price,sopr_ma7,sopr_ma30,sopr_below_1,nupl_ma30,nupl_capitulation,nupl_euphoria,sth_sopr_ma7,sth_capitulation,mempool_ma7,mempool_congestion,miners_revenue_ma30,miners_revenue_ratio
2019-01-01,1381534.5,3344.5,7012103.64869832,29.8350571576202,11.22870449,234725.0,0.9790313662285498,-0.1917,0.9830229456,4538.3172,0.9780469239628524,0.9749466334427012,1,-0.2754533333333333,1,0,0.9651600252571428,1,3090.6666666666665,1.0821289905090596,6521955.731005008,1.0751535180410956
2019-01-02,,,,,,,0.9952512684330824,-0.164,0.9643254917,4537.6789,0.9789006942103534,0.9733799764571972,1,-0.27298,1,0,0.9647309318428572,1,3090.6666666666665,,6521955.731005008,
2019-01-03,658652.0,1215.5,,,,,0.9808226546643468,-0.1978,0.9465861637,4532.9,0.9783610283594596,0.970826144139332,1,-0.2719233333333333,1,0,0.9610003323142856,1,2753.0,0.4415183436251362,6448463.870743833,
2019-01-04,,,,,,,0.9894755033329824,-0.1838,0.9869833157,4531.0815,0.9833782972806466,0.9745500829971652,1,-0.2689066666666667,1,0,0.9709609997571428,1,2753.0,,6448463.870743833,
2019-01-05,2989003.5,4951.0,8052390.56037927,30.0761974070409,12.27107591,265192.0,0.9958338791884164,-0.1925,0.9815426516,4529.8889,0.9841528558272596,0.9772128314705338,1,-0.2641166666666666,1,0,0.9743224748714284,1,3170.333333333333,1.5616654400168226,6648954.706948262,1.2110761638915055
2019-01-06,,,,,,,0.9839290711603464,-0.1192,0.9850636683,4528.4218,0.9854298617006988,0.9783477872181228,1,-0.2551933333333333,1,0,0.9735463244571428,1,3170.333333333333,,6648954.706948262,
2019-01-07,,,,,,,0.9877974293663973,-0.131,0.972797953,4525.231,0.9874487389105888,0.9787176071811834,1,-0.2471733333333333,1,0,0.9743317413714286,1,3170.333333333333,,6820523.646212417,
2019-01-08,224923.0,619.5,,,,,0.9895346181790238,-0.1328,0.9959814819,4522.7454,0.9889492034749422,0.978729385211578,1,-0.2409433333333333,1,0,0.9761829608428572,1,2262.0,0.2738726790450928,6820523.646212417,
2019-01-09,,,8518054.36444044,26.3872072254281,24.16978699,319056.0,0.9981125485780296,-0.1294,1.0042020177,4522.433,0.9893579577813634,0.9798957706162332,1,-0.2330533333333333,1,0,0.9818796074142856,0,2262.0,,7032714.98599092,1.2112042619967247
2019-01-10,480222.5,1038.0,,,,,0.8757136514135815,-0.2349,0.9896946905,4480.1793,0.9743423858883968,0.9783658274414028,1,-0.2280666666666666,1,0,0.9880379683857144,1,2202.833333333333,0.4712113187561473,7032714.98599092,
2019-01-11,,,,,,,0.9797489739433592,-0.2349,0.9954186574,4475.586,0.9729528816898791,0.978625160580176,1,-0.2240899999999999,1,0,0.9892430172,1,2202.833333333333,,7300189.878314281,
