date,spot_open,spot_high,spot_low,spot_close,spot_volume_btc,spot_volume_usd,spot_trade_count,spot_taker_buy_btc,spot_taker_buy_usd,futures_open,futures_high,futures_low,futures_close,futures_volume_btc,futures_volume_usd,binance_funding_daily,binance_funding_mean,binance_funding_max,binance_funding_min,funding_count,gap_pct,true_range,atr_14,atr_pct,intraday_range_pct,candle_body_ratio,upper_shadow_ratio,lower_shadow_ratio,candle_direction,spot_taker_buy_ratio,spot_taker_sell_ratio,volume_per_trade,trade_count_zscore,basis_pct,basis_annualized,basis_ma7,basis_ma30,basis_zscore,has_futures_data,has_funding_data
2019-01-02,3796.45,3882.14,3750.45,3858.56,35156.463369,133876627.2465106,218538,17921.600114,68277897.66105787,3796.45,3882.14,3750.45,3858.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.69000000000005,165.39928571428567,4.604862291034279,3.4129312489633454,0.4716379375806827,0.1790568759966582,0.3493051864226591,1.0,0.5097668649401969,0.49023313505980315,0.16087116825906705,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2019-01-03,3857.57,3862.74,3730.0,3766.78,29406.948359,111657372.69526468,199812,14793.083267,56172495.42692984,3857.57,3862.74,3730.0,3766.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025657240006628945,132.73999999999978,165.39928571428567,4.604862291034279,3.523964765661912,0.6839686605394012,0.03894832002410446,0.2770830194364943,-1.0,0.5030472079729611,0.4969527920270389,0.14717308449442476,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2019-01-04,3767.2,3823.64,3703.57,3792.01,29519.554671,111034550.64066195,192232,15579.303258,58616203.97789647,3767.2,3823.64,3703.57,3792.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011150106987921196,120.06999999999971,165.39928571428567,4.604862291034279,3.166394603389751,0.20662946614475272,0.263429666028148,0.5299408678270993,1.0,0.5277621370523282,0.4722378629476718,0.15356212634212826,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2019-01-05,3790.09,3840.99,3751.0,3770.96,30490.667751,115893501.27515878,203673,14908.914175,56667455.38615935,3790.09,3840.99,3751.0,3770.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05063277786714889,89.98999999999978,165.39928571428567,4.604862291034279,2.38639497634554,0.21257917546394217,0.565618402044669,0.22180242249138887,-1.0,0.48896646989671233,0.5110335301032877,0.1497040243478517,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2019-01-06,3771.12,4027.71,3740.0,3987.6,36553.806709,142198812.18914708,240496,19772.887008,76903705.93007119,3771.12,4027.71,3740.0,3987.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004242951396987889,287.71000000000004,165.39928571428567,4.604862291034279,7.215116862273048,0.7524243161516805,0.13941121267943457,0.10816447116888495,1.0,0.5409255228985952,0.4590744771014048,0.15199340824379615,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2019-01-07,3987.62,4017.9,3921.53,3975.45,31869.846264,126830380.4928724,221219,16404.352241,65287611.65056139,3987.62,4017.9,3921.53,3975.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005015548199413635,96.36999999999989,165.39928571428567,4.604862291034279,2.4241280861286114,0.12628411331327266,0.3142056656635907,0.5595102210231366,-1.0,0.5147295692960485,0.4852704307039515,0.14406468822298266,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2019-01-08,3976.76,4069.8,3903.0,3955.13,38901.423122,154778846.54236615,242898,20047.977601,79781104.89538665,3976.76,4069.8,3903.0,3955.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0329522444000151,166.80000000000018,165.39928571428567,4.604862291034279,4.217307648547587,0.12967625899280627,0.5577937649880088,0.312529976019185,-1.0,0.5153533210887142,0.48464667891128577,0.1601553867137646,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2019-01-09,3955.45,4006.81,3930.04,3966.65,28989.439511,115218950.31554872,209240,14984.33702,59559010.745234,3955.45,4006.81,3930.04,3966.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008090758078741002,76.76999999999998,165.39928571428567,4.604862291034279,1.9353862831356428,0.1458903217402667,0.5231210108115132,0.33098866744822014,1.0,0.5168895043422352,0.48311049565776476,0.13854635591187153,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2019-01-10,3966.06,3996.01,3540.0,3585.88,59402.22851,221789348.03469807,374760,28288.322574,105616252.06340843,3966.06,3996.01,3540.0,3585.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014874012075684659,456.0100000000002,165.39928571428567,4.604862291034279,12.716822648833764,0.8337097870660723,0.06567838424596009,0.10061182868796756,-1.0,0.4762165205508719,0.5237834794491281,0.15850738742128295,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2019-01-11,3585.88,3658.0,3465.0,3601.31,38338.654733,137560743.6248598,264996,19907.350586,71430015.64522146,3585.88,3658.0,3465.0,3601.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,165.39928571428567,4.604862291034279,5.359160971979641,0.07994818652849656,0.2937305699481868,0.6263212435233166,1.0,0.5192501073561339,0.48074989264386614,0.14467635259777506,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2019-01-12,3601.31,3618.19,3530.0,3583.13,21999.928354,78908770.67658037,175679,11645.598846,41778835.50680978,3601.31,3618.19,3530.0,3583.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.19000000000005,165.39928571428567,4.604862291034279,2.461255941034795,0.20614582152171249,0.19140492119288013,0.6024492572854073,-1.0,0.5293471259820086,0.4706528740179914,0.12522799170077242,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2019-01-13,3584.1,3611.1,3441.3,3476.81,26385.757454,92882249.46737902,183113,13692.42064,48229503.0153272,3584.1,3611.1,3441.3,3476.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0270713035809418,169.79999999999973,165.39928571428567,4.604862291034279,4.883787149714816,0.6318610129564202,0.15901060070671402,0.20912838633686584,-1.0,0.5189322559290134,0.4810677440709866,0.14409548996521274,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2019-01-14,3477.56,3671.87,3467.02,3626.09,35235.211215,125631820.06705056,229452,18416.416902,65668831.10400985,3477.56,3671.87,3467.02,3626.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021571498011107883,204.8499999999999,165.39928571428567,4.604862291034279,5.6493357859291935,0.7250671222845998,0.223480595557724,0.051452282157676194,1.0,0.522670824636917,0.47732917536308295,0.15356244972804772,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2019-01-15,3626.08,3648.42,3516.62,3553.06,34137.997459,122785440.2288754,231684,17225.622434,61971796.9125699,3626.08,3648.42,3516.62,3553.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00027577914503551423,131.80000000000018,165.39928571428567,4.604862291034279,3.709478590285562,0.554021244309559,0.16949924127465946,0.2764795144157815,-1.0,0.5045879581744098,0.4954120418255902,0.14734723787141105,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2019-01-16,3553.06,3645.0,3543.51,3591.84,27480.179977,98504455.20666537,205159,14183.69988,50843136.81523343,3553.06,3645.0,3543.51,3591.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.48999999999978,165.39928571428567,4.604862291034279,2.82557129493518,0.3821066114888194,0.5237954478273719,0.09409794068380872,1.0,0.5161429034260797,0.4838570965739203,0.133945768779337,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2019-01-17,3591.84,3634.7,3530.39,3616.21,29755.440838,106709136.97324342,217797,16010.503395,57427195.93767381,3591.84,3634.7,3530.39,3616.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.30999999999995,163.36857142857139,4.517673791858642,2.8845116848855556,0.23363052439842685,0.1772600901159984,0.5891093854855748,1.0,0.5380697762862027,0.4619302237137973,0.13662006748485975,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2019-01-18,3613.32,3620.0,3565.75,3594.87,22713.446755,81699723.54479145,177567,12611.083757,45362975.23668103,3613.32,3620.0,3565.75,3594.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07991792512049556,54.25,158.66714285714284,4.413710171915614,1.5090949046836186,0.34009216589862257,0.12313364055299238,0.5367741935483851,-1.0,0.5552254527034244,0.4447745472965756,0.1279147969780421,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2019-01-19,3594.87,3720.0,3594.23,3665.3,22171.578123,81354185.90325992,175054,11637.258171,42690540.30785225,3594.87,3720.0,3594.23,3665.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.76999999999998,161.22285714285712,4.398626501046493,3.4313698742258474,0.5599904587739548,0.434920887334021,0.005088653892024114,1.0,0.5248727946400858,0.47512720535991415,0.126655649816628,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2019-01-20,3665.75,3693.73,3475.0,3539.28,27901.938598,99767239.95381454,204941,13875.111381,49633530.63808028,3665.75,3693.73,3475.0,3539.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012277303358519578,218.73000000000002,156.29571428571427,4.416031347780177,6.180070522818201,0.5782014355598216,0.1279202669958397,0.29387829744433863,-1.0,0.49728126711577536,0.5027187328842246,0.1361462010920216,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2019-01-21,3539.26,3559.51,3475.5,3526.9,19644.436839,69316548.76685554,160825,10462.020278,36918177.63501831,3539.26,3559.51,3475.5,3526.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005650866842968573,84.01000000000022,155.41285714285715,4.4065002450553505,2.3819785080382267,0.14712534222116527,0.2410427330079746,0.6118319247708601,-1.0,0.532569111741081,0.467430888258919,0.12214790510803669,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2019-01-22,3526.88,3608.5,3434.85,3570.93,29336.442967,103804480.11605988,195484,15661.333001,55461347.6939766,3526.88,3608.5,3434.85,3570.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000567070231647674,173.6500000000001,155.90214285714288,4.365869475378763,4.862878857888564,0.2536711776562033,0.2163547365390161,0.5299740858047806,1.0,0.5338524857501346,0.46614751424986545,0.15007081381084897,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2019-01-23,3570.41,3607.98,3514.5,3552.82,24938.842698,88816396.34583545,192892,13136.693253,46789527.0087881,3570.41,3607.98,3514.5,3552.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014562032859786718,93.48000000000002,157.0957142857143,4.421718924283085,2.631149340523866,0.18816859221223456,0.40190415062045526,0.4099272571673102,-1.0,0.5267563299580662,0.4732436700419338,0.12928914987661488,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2019-01-24,3552.97,3589.0,3529.22,3569.62,20826.25118,74037052.86632736,162159,10975.97457,39023591.88152408,3552.97,3589.0,3529.22,3569.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004221998299931778,59.7800000000002,128.79357142857143,3.6080471150590663,1.67468806203462,0.2785212445633997,0.32418869187019145,0.39729006356640884,1.0,0.5270259383282825,0.4729740616717175,0.12843105334887364,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2019-01-25,3569.07,3587.15,3522.51,3565.29,17608.346671,62634926.45524528,153413,9690.398152,34473989.38670668,3569.07,3587.15,3522.51,3565.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015407802511184024,64.63999999999987,119.625,3.3552670329762795,1.8130362467008259,0.05847772277228044,0.2797029702970291,0.6618193069306905,-1.0,0.5503298142101873,0.44967018578981266,0.11477740915698148,0.0,0.0,0.0,0.0,0.0,0.0,0,0
