date,price_usd,price_open,price_high,price_low,volume_usd,futures_close,futures_volume_usd,eth,gold,copper,m2_supply,fed_balance_sheet,nupl,miners_revenue_usd,stablecoin_supply,hash_rate,open_interest,futures_trade_count,reserveRisk,puellMultiple,funding_rate_mean
2019-01-02,3858.56,3796.45,3882.14,3750.45,1925357003.893261,3858.56,,155.0476837158203,1281.0,2.625,,4058378.0,,7308724.997720695,425353589.0,42174589.1025484,,,,,
2019-01-03,3766.78,3857.57,3862.74,3730.0,1436043254.945805,3766.78,,149.135009765625,1291.800048828125,2.570499897003174,,4058378.0,,7317018.752407348,440163226.0,43291796.7608941,,,,,
2019-01-04,3792.01,3767.2,3823.64,3703.57,1802580751.1774127,3792.01,,154.58193969726562,1282.699951171875,2.65149998664856,,4058378.0,,7105936.79878141,444148186.0,41615985.2733756,,,,,
2019-01-05,3770.96,3790.09,3840.99,3751.0,1708220861.7368076,3770.96,,155.6385955810547,1282.699951171875,2.65149998664856,,4058378.0,,7716639.758890729,654830313.0,45526212.0775854,,,,,
2019-01-06,3987.6,3771.12,4027.71,3740.0,1897395192.1689453,3987.6,,157.74620056152344,1282.699951171875,2.65149998664856,,4058378.0,,7073829.160911663,655780524.0,39381569.9566843,,,,,
2019-01-07,3975.45,3987.62,4017.9,3921.53,1986215913.3014088,3975.45,,151.69921875,1286.800048828125,2.6410000324249268,,4058378.0,,7031791.114662082,665973024.0,39381569.9566843,,,,,
2019-01-08,3955.13,3976.76,4069.8,3903.0,1920924128.267815,3955.13,,150.35963439941406,1283.199951171875,2.6605000495910645,,4058378.0,,8394211.525375845,675930959.0,47202023.5651039,,,,,
2019-01-09,3966.65,3955.45,4006.81,3930.04,1910517552.3255663,3966.65,,150.80311584472656,1289.300048828125,2.6619999408721924,,4056563.0,,8163563.121162945,683973309.0,45805513.9921718,,,,,
2019-01-10,3585.88,3966.06,3996.01,3540.0,2655903465.112867,3585.88,,128.62518310546875,1284.699951171875,2.6435000896453857,,4056563.0,,7066503.071756063,701285519.0,43571098.6754805,,,,,
2019-01-11,3601.31,3585.88,3658.0,3465.0,1755095236.1479373,3601.31,,127.54832458496094,1287.0999755859375,2.6695001125335693,,4056563.0,,6720771.216904329,703271358.0,41336683.3587892,,,,,
2019-01-12,3583.13,3601.31,3618.19,3530.0,1400828113.373099,3583.13,,125.9665298461914,1287.0999755859375,2.6695001125335693,,4056563.0,,6207302.697819248,712337923.0,38543664.212925,,,,,
2019-01-13,3476.81,3584.1,3611.1,3441.3,1413435002.2198875,3476.81,,116.8978042602539,1287.0999755859375,2.6695001125335693,,4056563.0,,5986612.833113984,722140778.0,38264362.2983386,,,,,
2019-01-14,3626.09,3477.56,3671.87,3467.02,1838570502.2758155,3626.09,,129.0687255859375,1289.0999755859375,2.6454999446868896,,4056563.0,,6794489.932035221,729353456.0,43489353.9009638,,,,,
2019-01-15,3553.06,3626.08,3648.42,3516.62,1886625052.41646,3553.06,,122.03271484375,1286.199951171875,2.650500059127808,,4056563.0,,5886872.051278688,729419513.0,38609293.9848548,,,,,
2019-01-16,3591.84,3553.06,3645.0,3543.51,1627764567.255509,3591.84,,123.54706573486328,1291.5999755859375,2.69350004196167,,4050044.0,,5981088.675035453,727053135.0,38901788.6362552,,,,,
2019-01-17,3616.21,3591.84,3634.7,3530.39,1695001194.35384,3616.21,,123.7419204711914,1291.0,2.700000047683716,,4050044.0,,5748307.783818846,683920960.0,37146820.7278527,,,,,
2019-01-18,3594.87,3613.32,3620.0,3565.75,1506301011.3708372,3594.87,,121.01026153564452,1281.300048828125,2.740999937057495,,4050044.0,,6206193.3593035,683957819.0,40364261.8932572,,,,,
2019-01-19,3665.3,3594.87,3720.0,3594.23,1497094594.3512197,3665.3,,124.5190200805664,1281.300048828125,2.740999937057495,,4050044.0,,6109001.337800283,690991476.0,38901788.6362552,,,,,
2019-01-20,3539.28,3665.75,3693.73,3475.0,1531743437.6809328,3539.28,,119.4748306274414,1281.300048828125,2.740999937057495,,4050044.0,,6945616.27966803,695763164.0,45921660.2698651,,,,,
2019-01-21,3526.9,3539.26,3559.51,3475.5,1455939828.0465517,3526.9,,117.15785217285156,1281.300048828125,2.740999937057495,,4050044.0,,6620632.842749863,695710410.0,43874197.7100622,,,,,
2019-01-22,3570.93,3526.88,3608.5,3434.85,1602645352.3687634,3570.93,,118.74755096435548,1282.5,2.688999891281128,,4050044.0,,5803308.725650915,697109912.0,38024304.6820539,,,,,
2019-01-23,3552.82,3570.41,3607.98,3514.5,1592585046.9252386,3552.82,,117.45260620117188,1283.0999755859375,2.694000005722046,,4047052.0,,6489152.504603781,700102402.0,42704219.1044605,,,,,
2019-01-24,3569.62,3552.97,3589.0,3529.22,1479499617.6074247,3569.62,,117.36288452148438,1279.0999755859375,2.673500061035156,,4047052.0,,7220425.059349486,681266676.0,47384133.5268671,,,,,
2019-01-25,3565.29,3569.07,3587.15,3522.51,1494139436.175147,3565.29,,116.37834167480467,1297.4000244140625,2.73799991607666,,4047052.0,,6149318.669517198,692136757.0,40364261.8932572,,,,,
2019-01-26,3565.25,3566.69,3662.94,3545.0,1507915143.3515582,3565.25,,116.48873901367188,1297.4000244140625,2.73799991607666,,4047052.0,,6681777.306410901,693714777.0,43874197.7100622,,,,,
2019-01-27,3550.84,3565.62,3579.0,3486.0,1623574594.4770415,3550.84,,113.40528869628906,1297.4000244140625,2.73799991607666,,4047052.0,,6084720.878934751,691859657.0,40071767.2418568,,,,,
2019-01-28,3434.15,3550.05,3557.75,3380.27,2160153414.545131,3434.15,,106.58997344970705,1302.4000244140625,2.6875,,4047052.0,,6220890.89879603,697754834.0,42053315.6218028,,,,,
2019-01-29,3411.04,3434.0,3443.45,3349.92,1582728763.0282683,3411.04,,105.59821319580078,1308.199951171875,2.7320001125335693,,4047052.0,,6229410.256930881,682390507.0,42201068.2451955,,,,,
2019-01-30,3458.18,3410.04,3478.0,3387.1,1695966856.5370593,3458.18,,108.90753936767578,1309.9000244140625,2.7730000019073486,,4039678.0,,5878400.503599163,677786351.0,39310584.1188122,,,,,
2019-01-31,3434.1,3457.5,3489.2,3418.8,1475900264.7193997,3434.1,,107.0610122680664,1319.699951171875,2.7890000343322754,,4039678.0,,6649390.798362367,675829465.0,44802503.9589404,,,,,
2019-02-01,3462.07,3434.1,3488.0,3401.2,1389485098.025677,3462.07,,107.60978698730467,1316.9000244140625,2.775000095367432,14506.3,4039678.0,,6842368.041435258,654356448.0,45669649.1968553,,,,,
2019-02-02,3504.77,3462.2,3526.4,3440.29,1174253392.6825018,3504.77,,110.43025970458984,1316.9000244140625,2.775000095367432,14506.3,4039678.0,,6275846.909264446,654321153.0,41622971.4199188,,,,,
2019-02-03,3458.11,3504.06,3511.09,3426.0,1229608515.6116204,3458.11,,107.49266815185548,1316.9000244140625,2.775000095367432,14506.3,4039678.0,,5958194.580598454,652487616.0,39888680.9440889,,,,,
2019-02-04,3463.22,3458.11,3484.88,3433.31,1357962973.4966345,3463.22,,107.82160186767578,1314.300048828125,2.7950000762939453,14506.3,4039678.0,,6365106.447532245,652767897.0,42490116.6578338,,,,,
2019-02-05,3471.59,3463.22,3478.97,3448.43,1303945713.9760077,3471.59,,107.44351959228516,1314.199951171875,2.816999912261963,14506.3,4039678.0,,6375931.469133128,641272240.0,42490116.6578338,,,,,
