date,price_usd,cusum_pos,mr_score_30d,adx,cusum_neg,structural_break_score,eth_btc_ratio,m2_yoy_growth,volatility_7d,basis_ma7,nupl_ma30,hurst_60d,eth,bb_position,eth_pctchg_30d,stablecoin_zscore,btc_gold_corr_30d,stablecoin_supply_change_30d,copper_return_30d,fractal_dimension_30d,kpss_stat_30d,half_life_60d,sortino_30d,volume_sma20_ratio,aroon_down_30d,basis_pct,fed_balance_sheet,velocity,price_fracdiff_05,fed_fracdiff_05,reserveRisk,puellMultiple,funding_rate_ma7
2019-01-01,3903.454306672461,0.0385866523161783,58.90938573571362,0.0,0.0771299307069619,50.10412006641496,0.0360755887396279,0.0337280012740168,0.492747375273662,0.0,-0.2754533333333333,0.8421399336185619,140.8194122314453,0.1663156034995295,-0.239728311803311,0.0752652606412508,0.2213478021841723,0.6186827203100886,0.0571428934733073,2.0,0.6683251362019678,3.334595051310867,0.0,0.8803060456728382,93.33333333333331,0.0,4058378.0,-0.1061374308208051,0.0,0.0,0.0,0.0,0.0
2019-01-02,3858.56,0.0385866523161783,58.90938573571362,7.142857142168163,0.0771299307069619,50.10412006641496,0.0397206366507947,0.0337280012740168,0.492747375273662,0.0,-0.27298,0.8421399336185619,155.0476837158203,0.1663156034995295,-0.239728311803311,0.0752652606412508,0.2213478021841723,0.6186827203100886,0.0571428934733073,2.0,0.6683251362019678,3.334595051310867,0.0,0.8803060456728382,93.33333333333331,0.0,4058378.0,-0.1061374308208051,0.0,0.0,0.0011233497999999,0.8055000000000001,0.0001
2019-01-03,3766.78,0.0385866523161783,58.90938573571362,13.775510203120827,0.0771299307069619,50.10412006641496,0.0374941458754538,0.0337280012740168,0.492747375273662,0.0,-0.2719233333333333,0.8421399336185619,149.135009765625,0.1663156034995295,-0.239728311803311,0.0752652606412508,0.2213478021841723,0.6186827203100886,0.0571428934733073,2.0,0.6683251362019678,3.334595051310867,0.0,0.8803060456728382,93.33333333333331,0.0,4058378.0,-0.1061374308208051,0.0,0.0,0.0011233497999999,0.8055000000000001,0.0001
2019-01-04,3792.01,0.0385866523161783,58.90938573571362,17.37486890994512,0.0771299307069619,50.10412006641496,0.0402635282233623,0.0337280012740168,0.492747375273662,0.0,-0.2689066666666667,0.8421399336185619,154.58193969726562,0.1663156034995295,-0.239728311803311,0.0752652606412508,0.2213478021841723,0.6186827203100886,0.0571428934733073,2.0,0.6683251362019678,3.334595051310867,0.0,0.8803060456728382,93.33333333333331,0.0,4058378.0,-0.1061374308208051,0.0,0.0,0.0011233497999999,0.8055000000000001,0.0001
2019-01-05,3770.96,0.0385866523161783,58.90938573571362,20.717130566273823,0.0771299307069619,50.10412006641496,0.0401058183405194,0.0337280012740168,0.492747375273662,0.0,-0.2641166666666666,0.8421399336185619,155.6385955810547,0.1663156034995295,-0.239728311803311,0.0752652606412508,0.2213478021841723,0.6186827203100886,0.0571428934733073,2.0,0.6683251362019678,3.334595051310867,0.0,0.8803060456728382,93.33333333333331,0.0,4058378.0,-0.1061374308208051,0.0,0.0,0.0011233497999999,0.8055000000000001,0.0001
2019-01-06,3987.6,0.0385866523161783,58.90938573571362,25.529533941547232,0.0771299307069619,50.10412006641496,0.0386773701148452,0.0337280012740168,0.492747375273662,0.0,-0.2551933333333333,0.8421399336185619,157.74620056152344,0.1663156034995295,-0.239728311803311,0.0752652606412508,0.2213478021841723,0.6186827203100886,0.0571428934733073,2.0,0.6683251362019678,3.334595051310867,0.0,0.8803060456728382,93.33333333333331,0.0,4058378.0,-0.1061374308208051,0.0,0.0,0.0011233497999999,0.8055000000000001,0.0001
2019-01-07,3975.45,0.0385866523161783,58.90938573571362,29.998194218582977,0.0771299307069619,50.10412006641496,0.0373835219972848,0.0337280012740168,0.492747375273662,0.0,-0.2471733333333333,0.8421399336185619,151.69921875,0.1663156034995295,-0.239728311803311,0.0752652606412508,0.2213478021841723,0.6186827203100886,0.0571428934733073,2.0,0.6683251362019678,3.334595051310867,0.0,0.8803060456728382,93.33333333333331,0.0,4058378.0,-0.1061374308208051,0.0,0.0,0.0011233497999999,0.8055000000000001,0.0001
2019-01-08,3955.13,0.0385866523161783,58.90938573571362,33.367677752619656,0.0771299307069619,50.10412006641496,0.0370076783556962,0.0337280012740168,0.492747375273662,0.0,-0.2409433333333333,0.8421399336185619,150.35963439941406,0.1663156034995295,-0.239728311803311,0.0752652606412508,0.2213478021841723,0.6186827203100886,0.0571428934733073,2.0,0.6683251362019678,3.334595051310867,0.0,0.8803060456728382,93.33333333333331,0.0,4058378.0,-0.1061374308208051,0.0,0.0,0.0011233497999999,0.8055000000000001,0.0001
2019-01-09,3966.65,0.0385866523161783,58.90938573571362,36.49648389136455,0.0771299307069619,50.10412006641496,0.0373747781372864,0.0337280012740168,0.5001209243270296,0.0,-0.2330533333333333,0.8421399336185619,150.80311584472656,0.1663156034995295,-0.239728311803311,0.0752652606412508,0.2213478021841723,0.6186827203100886,0.0571428934733073,2.0,0.6683251362019678,3.334595051310867,0.0,0.8803060456728382,93.33333333333331,0.0,4056563.0,-0.1061374308208051,0.0,0.0,0.0011233497999999,0.8055000000000001,0.0001
2019-01-10,3585.88,0.0385866523161783,58.90938573571362,36.14073065835733,0.0771299307069619,50.10412006641496,0.0353671412951947,0.0337280012740168,0.9081021994513894,0.0,-0.2280666666666666,0.8421399336185619,128.62518310546875,0.1663156034995295,-0.239728311803311,0.0752652606412508,0.2213478021841723,0.6186827203100886,0.0571428934733073,2.0,0.6683251362019678,3.334595051310867,0.0,0.8803060456728382,93.33333333333331,0.0,4056563.0,-0.1061374308208051,0.0,0.0,0.0011233497999999,0.8055000000000001,0.0001
2019-01-11,3601.31,0.0385866523161783,58.90938573571362,36.01130778565147,0.0771299307069619,50.10412006641496,0.0346798918647704,0.0337280012740168,0.8998760856813123,0.0,-0.2240899999999999,0.8421399336185619,127.54832458496094,0.1663156034995295,-0.239728311803311,0.0752652606412508,0.2213478021841723,0.6186827203100886,0.0571428934733073,2.0,0.6683251362019678,3.334595051310867,0.0,0.8803060456728382,93.33333333333331,0.0,4056563.0,-0.1061374308208051,0.0,0.0,0.0011233497999999,0.8055000000000001,0.0001
2019-01-12,3583.13,0.0395512333011831,58.90938573571362,35.89112940385265,0.0780945116919666,50.10412006641496,0.0344646867498276,0.0337280012740168,0.8887927220097339,0.0,-0.218,0.8421399336185619,125.9665298461914,0.1663156034995295,-0.239728311803311,0.0752652606412508,0.2213478021841723,0.6186827203100886,0.0571428934733073,2.0,0.6683251362019678,3.334595051310867,0.0,0.8803060456728382,93.33333333333331,0.0,4056563.0,-0.1061374308208051,0.0,0.0,0.0011233497999999,0.8055000000000001,0.0001
